,Title,platform,release_date,summary,meta_score,user_review
1818,C-12: Final Resistance,PlayStation,2002-07-22,"The population is threatened with near extinction as hostile alien forces ravage the planet, converting human survivors into cyborg warriors. Working against all odds and armed with an Alien Imaging Unit that has replaced his left eye, Resistance fighter Lt. Riley Vaghan must use firepower, stealth, intelligence and sheer determination to save humankind from impeding doom.",63,8.1
1819,Vampire: The Masquerade - Shadows of New York,PC,2020-09-10,"You're a nobody. An outcast in your own vampiric sect. A political prisoner of no particular value. An immigrant who never found her roots in a city of immigrants. A chainsmoker whose favorite pastime is staring blankly at the streets through the windows of a fast food joint at 4AM. The sinking feeling in the pit of your stomach tells you that you're doomed, and distorted voices from the shadows seem to agree. The curse of your clan makes interacting with everyday technology difficult. Dissociation is your natural state. But when New York's Anarch leader meets a gruesome end, out of all the bloodsuckers in the metropolis, you're the one picked to investigate. Make no mistake: this is obviously a trap, yet another move in the horrible game of Jyhad, the eternal struggle for power between warring vampire generations. But you're Lasombra, and if there's one thing you know, it's this: if the Ventrue Prince and her followers underestimate you, they're going to deeply regret it. Vampire: The Masquerade Shadows of New York is a visual novel set in the rich universe of Vampire: The Masquerade. It acts as a stand-alone expansion and a companion piece to our previous title, Coteries of New York. While Coteries was a general introduction to the world depicted in the 5th Edition of the hit tabletop role-playing game, Shadows presents a more personal and unique tale.",64,5.8
1820,Darksiders Genesis,PC,2019-12-05,"From the dawn of creation, the council has maintained the Balance across existence. Carrying out their orders are the Horsemen, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Darksiders: Genesis is an action/adventure that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of Darksiders before the events of the original game, as well as introduces the horseman Strife.",77,7.6
1821,Darksiders Genesis,Xbox One,2020-02-14,"From the dawn of creation, the council has maintained the Balance across existence. Carrying out their orders are the Horsemen, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Darksiders: Genesis is an action/adventure that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of Darksiders before the events of the original game, as well as introduces the horseman Strife.",77,5.5
1822,Darksiders Genesis,PlayStation 4,2020-02-14,"From the dawn of creation, the council has maintained the Balance across existence. Carrying out their orders are the Horsemen, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Darksiders: Genesis is an action/adventure that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of Darksiders before the events of the original game, as well as introduces the horseman Strife.",77,7.3
1823,Darksiders Genesis,Switch,2020-02-14,"From the dawn of creation, the council has maintained the Balance across existence. Carrying out their orders are the Horsemen, Nephilim (powerful beings spawned from the unnatural union of angels and demons) who have pledged themselves to the Council and been granted immense power. However, this power came at a tragic cost: the Horsemen were ordered to use their newfound strength to wipe out the rest of their kind. What followed was a bloody battle on Eden where the Horsemen, obeying the will of the Council, annihilated the Nephilim. Darksiders: Genesis is an action/adventure that tears its way through hordes of demons, angels, and everything in-between on its way to Hell and back with guns blazing and swords swinging. Genesis gives players their first look at the world of Darksiders before the events of the original game, as well as introduces the horseman Strife.",74,7.5
1824,Obscure,Xbox,2005-04-06,"Inspired by recent ""teen slasher"" movies and TV shows, Obscure takes you to a deserted high school rife with tortured screams and faceless creatures. In single-player mode, you'll play as one of five students teamed with a computer-controlled character. In cooperative mode, your friend can play as your partner. As you explore the school, you must combine your weapons with artificial or natural light sources to drive away the monsters.",66,8.4
1825,Obscure,PlayStation 2,2005-04-06,"As many highschools, Leafmore High is no longer the highschool it used to be. Its walls are mouldering, its books are outdated, its teachers have lost their faith... Following the disappearance of one of their friends, a group of students decide to investigate their high school. This brave step will lead them into a hell they will never forget. But, no matter what happens, they must stick together if they want to throw light on the dark and sordid history of their school. Play five different students, alone or in cooperation, every one of them having their own special aptitude, and use them wisely to defeat the monsters creeping around. [Hydravision]",65,8.8
1826,Obscure,PC,2005-04-06,"As many highschools, Leafmore High is no longer the highschool it used to be. Its walls are mouldering, its books are outdated, its teachers have lost their faith... Following the disappearance of one of their friends, a group of students decide to investigate their high school. This brave step will lead them into a hell they will never forget. But, no matter what happens, they must stick together if they want to throw light on the dark and sordid history of their school. Play five different students, alone or in cooperation, every one of them having their own special aptitude, and use them wisely to defeat the monsters creeping around. [Hydravision]",63,7.7
1827,Take On Mars,PC,2013-08-01,"Take On Mars places you in the seat of a Rover Operator, allowing you to control the various, fully simulated mobile Rovers and stationary Landers. With this scientific arsenal at your disposal, you will work your way through the numerous Science Missions in each location, unlocking the secrets of Mars' distant past.",62,7.6
1828,Poison Control,PlayStation 4,2021-04-13,"This shooter-meets-action title combines high-octane gameplay and a grim-yet-charming art style into one unforgettable adventure. Use Poisonette's powers to purify poison mires while blasting away enemies as her gunslinging vessel. You can also customize your gameplay experience by choosing between a male or female vessel, unlocking weapons and enhancements with each world you purify, and increasing certain stats of Poisonette through choice-based dialogue. A poisonous partnership: swap between the poison-absorbing Poisonette and her gun-wielding vessel, and combine firepower and zone control to destroy the creatures of the poison mires. Enigmatic encounters: uncover the mysterious circumstances that set Poisonette and her vessel on the poisonous path towards redemption. Corrupt and colorful: with an art style that's as grim as it is charming, this twisted tale practically jumps off the screen! From vivid stages to vibrant gameplay effects, this adventure is as much a visual experience as it is visceral.",62,tbd
1829,Poison Control,Switch,2021-04-13,"This shooter-meets-action title combines high-octane gameplay and a grim-yet-charming art style into one unforgettable adventure. Use Poisonette's powers to purify poison mires while blasting away enemies as her gunslinging vessel. You can also customize your gameplay experience by choosing between a male or female vessel, unlocking weapons and enhancements with each world you purify, and increasing certain stats of Poisonette through choice-based dialogue. A poisonous partnership: swap between the poison-absorbing Poisonette and her gun-wielding vessel, and combine firepower and zone control to destroy the creatures of the poison mires. Enigmatic encounters: uncover the mysterious circumstances that set Poisonette and her vessel on the poisonous path towards redemption. Corrupt and colorful: with an art style that's as grim as it is charming, this twisted tale practically jumps off the screen! From vivid stages to vibrant gameplay effects, this adventure is as much a visual experience as it is visceral.",61,8.0
1830,Brain Age 2: More Training in Minutes a Day,DS,2007-08-20,"(Also known as ""More Brain Training from Dr Kawashima: How Old Is Your Brain?"") Brain Age 2: More Training in Minutes a Day contains all-new activities to challenge a player's gray matter. The title is a series of trainings designed to give the brain a workout. The 17 new, engaging activities are all designed to help work the brain. Whether players are playing simple songs on a piano keyboard or monitoring the photo finish of a footrace, they'll love this new mental workout. When starting a new game, players take a series of tests and get a score that shows how old their brain is. This number is called the ""DS Brain Age."" With daily training over weeks and months, players strive to improve their mental acuity and lower their ""DS Brain Age."" Progress is charted in graph form. Players can keep up to four save files on one game card. Sharing a game allows players to engage in a picture-drawing quiz or other challenges with family and friends. Players also can use DS Download Play to send a demo to friends or compete with up to 16 players in one of four fun modes. [Nintendo]",77,7.2
1831,Costume Quest,PlayStation 3,2010-10-19,"Costume Quest is a rollicking Adventure/Role-Playing game that unfolds on Halloween night across seemingly peaceful suburban neighborhoods, a mysterious village carnival, and a monster-infested shopping mall. Created by Double Fine's lead animator, Tasha Harris, the game follows the adventure of a group of young friends who must rid their neighborhood of monsters using only their wits, their bravery, and their home-made costumes. Players go door-to-door collecting candy, points, cards, battle stamps and quest assignments as they prepare themselves for Combat Mode-where they transform into larger-than-life versions of their costumes. Each costume that comes-to-life provides its own unique set of superpowers that players will need to battle Halloweenâ€™s worst monsters.",77,8.0
1832,Costume Quest,Xbox 360,2010-10-20,"Costume Quest is a rollicking Adventure/Role-Playing game that unfolds on Halloween night across seemingly peaceful suburban neighborhoods, a mysterious village carnival, and a monster-infested shopping mall. Created by Double Fine's lead animator, Tasha Harris, the game follows the adventure of a group of young friends who must rid their neighborhood of monsters using only their wits, their bravery, and their home-made costumes. Players go door-to-door collecting candy, points, cards, battle stamps and quest assignments as they prepare themselves for Combat Mode-where they transform into larger-than-life versions of their costumes. Each costume that comes-to-life provides its own unique set of superpowers that players will need to battle Halloweenâ€™s worst monsters.",74,8.3
1833,R: Racing Evolution,Xbox,2003-12-09,"Not your ordinary racer, R: Racing Evolution features a story mode, in-game radio communications, and authentic licensed cars. R: Racing Evolution chronicles the intense competition and deep rivalries found only within the professional racing circuit. Upgrade and modify your vehicle to compete in five game modes, including Racing Life, Event Challenge, Time Attack, Arcade, and Versus. New features such as the Interactive Driver AI System and in-game radio communications bring players close to the racing action.",67,tbd
1834,R: Racing Evolution,GameCube,2003-12-09,"Not your ordinary racer, R: Racing Evolution features a story mode, in-game radio communications, and authentic licensed cars. R: Racing Evolution chronicles the intense competition and deep rivalries found only within the professional racing circuit. Upgrade and modify your vehicle to compete in five game modes, including Racing Life, Event Challenge, Time Attack, Arcade, and Versus. New features such as the Interactive Driver AI System and in-game radio communications bring players close to the racing action.",67,7.0
1835,R: Racing Evolution,PlayStation 2,2003-12-09,"R: Racing Evolution is an extraordinary action-racing experience featuring authentic licensed cars and daring, real-world tracks. Combining awesome graphical quality and high performance driving physics with a spectacular story line, R: Racing Evolution chronicles the intense competition and deep rivalries found only within the professional racing circuit. New exciting features such as the Interactive Driver AI System and in-game radio communications bring players closer to racing action than ever before! 14 tracks from real-world and fantasy locations. 8 different racing styles, including GT, Rally, and Drag. 4 game modes including Racing Life (Story Mode), Time Attack, Arcade, and Versus. New ""Interactive Driver AI System"" enhances realistic racing situations. [Namco]",66,6.7
1836,Among Us,PC,2018-11-16,An online and local party game of teamwork and betrayal for 4-10 players...in space!,85,6.9
1837,Among Us,Switch,2020-12-15,"An online and local party game of teamwork and betrayal for 4-10 players...IN SPACE! Play with 4-10 player online or via local WiFi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the Crew are Impostors bent on killing everyone! Originally created as a party game, we recommend playing with friends at a LAN party or online using voice chat. Enjoy cross-platform play between Android, iOS and PC. THE CREW Objective: Fill Group Task Bar or Discover the Imposter! * Win by completing tasks to prepare the ship or ejecting all Impostors. * React quickly to undo the Impostor's sabotages. * Check the Admin map and Security cameras to keep tabs on other Crewmates. * Report any dead bodies immediately to start discussion of who the suspected Impostor is. * Call emergency meetings to discuss suspicious behavior. * Vote to eject suspected Impostors. THE IMPOSTER Objective: Kill Off the Crew! * Kill crewmates and frame bystanders. * Pretend to run tasks to blend in with the crewmates. * Sneak through the vents to quickly move about the ship. * Use sabotages to cause chaos and divide the crew. * Close doors to trap victims and kill in private. Features: * Customization: Pick your color and hat. * Lots of game options: Add more impostors, more tasks, and so much more! * Quickly find a game online from the host list. * In-game text chat. * Rich discord integration. * Cross-platform play between PC, Android, and iOS!",79,6.4
1838,Blazing Angels: Squadrons of WWII,Xbox,2006-03-23,"You can take to the skies and reenact some of the greatest air battles of World War II in Blazing Angels: Squadrons of WWII. The game features squadron-based combat, which lets you use the individual characteristics of your wingmen to complete the 18-mission single-player campaign. Blazing Angels: Squadrons of WWII uses the graphical power of the Xbox 360 to accurately model battle sites--such as England, Morocco, and Pearl Harbor--and the 38 aircraft included in the game. Up to 16 players can battle via Xbox Live in both competitive and cooperative game modes.",69,7.0
1839,Blazing Angels: Squadrons of WWII,PlayStation 3,2006-12-12,"In Blazing Angels: Squadrons of WWII, players experience the most gripping and famous battles of WWII through the eyes of a squadron commander and ace fighter pilot. From the Battle of Britain, through the dramatic air combat of Pearl Harbor, the fierce fighting of Midway, and on to the European continent in the battle of Berlin, players can hone their pilot skills while creating WWII history. Dominate the skies of Western Europe and the Pacific and bring your squadron of Blazing Angels back alive. The game takes advantage of the PlayStation 3 system’s unique and powerful capabilities, including innovative use of the PlayStation 3 controller. New missions are introduced and the game features a 16-player multiplayer mode. [Ubisoft]",67,7.0
1840,Blazing Angels: Squadrons of WWII,Xbox 360,2006-03-23,"During the course of the 18-mission campaign, players will evolve along with their wingmen into an ace fighting force. Spectacular graphics enhance the combat experience in true World War II battle sites such as England, Germany, France, Morocco, Pearl Harbor, Midway and Tokyo. The heroic storyline that follows the evolution of a single squadron and the cinematic presentation create moments reminiscent of classic World War II movies. Pilots fly in close to Germany’s industrial terrain during a bombing raid or emerge from the fog and cloud cover over London to engage the enemy. Up to 16 players online can engage over Xbox Live online game service in head-to-head dogfights or cooperative team play between squadrons in 10 additional missions. [Ubisoft]",66,7.9
1841,Blazing Angels: Squadrons of WWII,PC,2006-03-28,"Experience the greatest air battles of World War II in famous locations from across the globe. Whether it's the Battle of Britain, the attack of Pearl Harbor or the fierce fighting for the desserts of North Africa, the player and his squadron of Blazing Angels will be tasked with turning the tide of war. Command three separate AI-wingmen and make use of each ones special abilities to both attack and defend their squadron leader. During the course of the twenty mission campaign, the pilot will be accompanied by his squadron and they will grow together as an ace fighting force through the entire length of WWII. Fly in close to Germany's industrial terrain for a bombing raid, strafe the islands of the pacific, or emerge from the cloud cover over London and engage the enemy. The environment is so real you'll feel like you're the pilot in a famous WWII movie. [Ubisoft]",65,4.6
1842,Blazing Angels: Squadrons of WWII,Wii,2007-03-20,"As a squadron leader and ace fighter pilot, leverage the Wii controller to experience intense dog fighting in the famous air battles of WW II. During the course of the mission campaign, players evolve along with their wingmen into an ace fighting force. Spectacular graphics enhance the combat experience in true World War II battle sites such as England, Germany, France, Morocco, Pearl Harbor, Midway and Tokyo. The heroic storyline that follows the evolution of a single squadron and the cinematic presentation create moments reminiscent of classic World War II movies. Pilots fly in close to Germany’s industrial terrain during a bombing raid or emerge from the fog and cloud cover over London to engage the enemy. Up to 16 players online can engage online in head-to-head dogfights or cooperative team play between squadrons in 10 additional missions. [Ubisoft]",57,6.8
1843,Don't Starve,PC,2013-04-23,"Assume the role of Wilson, an intrepid Gentleman Scientist who has been trapped by a demon and transported to a mysterious wilderness world. Wilson must learn to utilize his environment and its inhabitants if he ever hopes to escape and find his way back home. Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Collect resources to craft items and structures that match your survival style. Play your way as you unravel the mysteries of this strange land.",79,8.3
1844,Scooby-Doo! Night of 100 Frights,PlayStation 2,2002-05-20,"The Mastermind has kidnapped Mystery Inc! It's up to Scooby-Doo to search for his lost friends. Guide Scooby through 12 huge levels that include a creepy mansion, a spooky cave, a ghostly graveyard, and a perilous pier. Help Scooby search for clues, avoid Classic Scooby-Doo monsters, use wacky inventions, eat Scooby Snacks, and gather groovy power-ups. Do you have what it takes to foil the Mastermind's plan to rid the world of Mystery Inc? [THQ]",69,8.5
1845,Scooby-Doo! Night of 100 Frights,GameCube,2002-09-16,"The Mastermind has kidnapped Mystery Inc, and it's up to Scooby-Doo to search for his lost friends. Guide Scooby through 12 huge levels that include a creepy mansion, a spooky cave, a ghostly graveyard, and a perilous pier. As you search for clues, you must avoid classic Scooby-Doo monsters, use wacky inventions, eat Scooby Snacks, and gather power-ups. Do you have what it takes to foil the Mastermind's plan to rid the world of Mystery Inc?",68,7.5
1846,Scooby-Doo! Night of 100 Frights,Xbox,2003-08-27,"The Mastermind has kidnapped Mystery Inc, and it's up to Scooby-Doo to search for his lost friends. Guide Scooby through 12 huge levels that include a creepy mansion, a spooky cave, a ghostly graveyard, and a perilous pier. As you search for clues, you must avoid classic Scooby-Doo monsters, use wacky inventions, eat Scooby Snacks, and gather power-ups. Do you have what it takes to foil the Mastermind's plan to rid the world of Mystery Inc?",66,7.3
1847,Bonkies,PlayStation 4,2021-01-29,"Bonkies is a jolly, couch co-op party game with a pinch of construction building! Gather your prime mates, equip your banana-fuelled jetpack and robo-arm, and raise wacky buildings all over the cosmos for the glory of apekind! Become the CHIMPion of space construction.",76,tbd
1848,Fractured Soul,3DS,2012-09-13,"In Fractured Soul 3D, players take on the role of interplanetary rogue, Jake DeSaul a man with a checkered and mysterious past who must confront his demons in his desperate plight to escape an eerie and malevolent space station. As they progress through each level, the boundaries between dream and reality continue to blur as Jake faces a lifetime of regrets, hopes, dreams, and what might have been in his efforts to reconcile himself with his past. In order to help Jake, players must blast their way through 20 exciting and brain bending platform levels spread across five distinct worlds - each offering a unique challenge including inverted gravity, damage, wind, ice, and underwater. Additionally, there are four shoot 'em up levels that also make use of the screen switching. Each level is timed and ranked to encourage replayability.",70,7.5
1849,Mister Mosquito,PlayStation 2,2002-03-12,"You are Mister Mosquito, an uninvited guest in the Yamada family home in Japan. In order to store up enough food for the winter, you must drink as much of their precious blood as possible while they are in bed, talking on the phone, watching tv, or even a bath. The Yamadas know you are in the house and have plans to take you out. Deadly insecticides fill the air, and they have the ability to crush you like the bug you are. [Fresh Games]",65,5.6
1850,TumbleSeed,Switch,2017-05-02,TumbleSeed is a roguelike about balancing a seed up a dangerous and ever-changing mountain. Avoid holes and defeat corrupted creatures in this dual-stick action adventure.,78,7.4
1851,CSI: Crime Scene Investigation: Deadly Intent,PSP,2009-10-27,"In Sin City there are no secrets, only hidden answers. Join the new Vegas CSI team and let the evidence guide you to the truth. Explore five brand-new, shocking cases written with CSI writers and bring the guilty to justice. Explore crime scenes, dissect a victim’s body, or follow the twists and turns of the story. CSI: Deadly Intent is an all-new immersive experience thanks to intriguing cases written with CSI show writers, a new rendering engine allowing for more realistic graphics, improved lighting effects, and enhanced character acting and lip sync with the voices of the actors from the show. Partner with the cast of the new CSI Season 9 with characters such as Ray Langston (Laurence Fishburne) and Riley Adams (Lauren Lee Smith). Work together on the crime scene or help each other during tough suspect interrogations. Play one of the most skilled forensic experts ever to join the Vegas CSI team. Help other detectives in their investigations and gain their respect through your actions and teamwork. PERFORM THE TASKS OF A CSI DETECTIVE: Collect evidence at the crime scene: Dust for fingerprints, Search for items that might be related to the case; Unveil hidden evidence through observation; Interview a variety of witnesses and suspects: Utilize an improved interrogation system for more realistic character interactions; Ask the right questions and use evidence collected at the crime scene to get the truth. Analyze the evidence with the latest technology: DNA analysis, Microscopic analysis. [Ubisoft]",51,5.7
1852,BUTCHER,Xbox One,2017-05-10,,72,6.5
1853,BUTCHER,PlayStation 4,2017-05-09,BUTCHER is a fast-paced 2D shooter and a blood-soaked love letter to the cult classics of the genre.,71,7.2
1854,BUTCHER,Switch,2017-09-28,"BUTCHER is a fast-paced 2D shooter and a blood-soaked love letter to the cult classics of the genre. As a cyborg programmed to eradicate the last remnants of humanity, your sole purpose is to… well... annihilate anything that moves. So grab your weapon of choice (from chainsaws, to shotguns, to grenade launchers) and kill your way through underground hideouts, post-apocalyptic cities, jungles, and more. And if you're feeling creative, there are plenty of other ways to end your enemies' misery – hooks, lava pits, saws... no death will ever be the same again. [Nintendo]",70,7.5
1855,AIPD - Artificial Intelligence Police Department,Xbox One,2016-01-29,"Enter the AI arena and fight evil artificial intelligences with a variety of weapons and modifications. AIPD is a top-down coop twin-stick shooter with a visual style that is an homage to 80s neon art styles, pioneered by games like Minestorm on the Vectrex console system or feature films like TRON.",70,tbd
1856,Gran Turismo 5,PlayStation 3,2010-11-24,"Known for its signature beauty and precision, the highly anticipated racer showcases new jaw-dropping cars, real-life tracks, and diverse racing styles. Gran Turismo promises to deliver exciting advancements to the series in the most comprehensive racing experience ever. [Sony]",84,7.8
1857,Asphalt 4: Elite Racing,DS,2009-07-06,"[DSiWare] For the racing elite, the world is their racetrack. Choose among 28 dream cars and motorcycles from the world's most prestigious manufacturers. Then race your way through eight of the most renowned cities, fully rendered in 3-D. Control your speed machine with either standard or touch-screen controls for precision driving. Photos taken with the Nintendo DSi™ Camera can be used as your personal icon or can appear throughout the various environments, including the garage where you can customize and tune your vehicles. From New York to Shanghai, Paris to Dubai, you'll weave a course through busy streets in six kinds of races plus four-player Multiplayer mode. Avoid police, demolish competitors and pass the leader to win. You'll need to floor it at every straightaway and push every drift to the limit to stay one step ahead and become the ultimate VIP of urban racing. [Nintendo]",78,7.8
1858,Tetris Splash,PlayStation 3,2007-10-03,"[Xbox Live Arcade] The most popular electronic game of all time is back, with new variants, enhanced graphics, and beautiful aquatic playscapes in Tetris Splash. Now, with new modes and team play, Tetris Splash introduces even more exciting, enjoyable ways to play this classic favorite. As easy to learn as it is addictive, it's equally fun for the casual player and the seasoned Tetris pro. Three different modes of play including Tetris, T-Spin, and Combo, plus a unique screensaver mode. Playable solo, competitively or in teams, with an online multiplayer mode via Xbox LIVE for up to six players. New, enhanced graphics, and beautiful aquatic backscapes add a real splash to the fun of Tetris. Exciting downloadable content will be made available including themes and background aquatic creatures. Twelve new achievements to master and conquer. [Microsoft]",53,7.6
1859,Samurai Warriors: Katana,Wii,2008-01-16,"Using a first-person perspective, Samurai Warriors: KATANA is based on the Samurai Warriors series and delivers total arcade-style action right into your own home. Armed with your motion-sensitive Wii Remote, you’ll journey back in time to do battle as a lethal samurai warrior. On each mission, legendary samurai and allies serve as your guide. Prevent pirates from invading your ships, rescue maidens from a burning castle, and explore mysterious caverns stalked by ninjas. These and many more challenging missions require quick reflexes, fast thinking, and precision marksmanship. Enjoy explosive martial arts excitement with three fun game modes. Go on an adventure through Feudal Japan in Musou Mode. Prepare for battle with a multitude of challenges in Trial Mode. Then, Go head-to-head with a friend in eight exciting mini games. Fight to stop endless waves of enemy samurai and ninja. Strike with sword or spear, fire volleys with your bow or thunderous rifle. Test your horseback riding skills, and explore the majestic castles of Feudal Japan. But be prepared to run and dodge your way past harrowing traps. Save your score and battle record with your Mii. [Koei]",53,7.2
1860,The Splatters,Xbox 360,2012-04-11,"The Splatters are acrobatic masters with a unique death wish - to blow themselves up with style. In this action-puzzler, you unlock and master a variety of stunts and perform spectacular moves to clear out each stage in the most dramatic way possible. With its fast-paced, splattery liquid physics engine you won't play the same way twice. And using Splatter TV, an in-game feature for sharing game clips, you pick up a myriad of new moves as you watch the world’s top players perform their combos. It’s a messy, colorful show of skill and destruction. Life can be short. DIE WITH STYLE.",72,8.3
1861,Metal Gear Rising: Revengeance,PC,2014-01-09,Metal Gear Solid Rising makes its way to the PC and features Raiden as a playable character.,83,8.1
1862,Metal Gear Rising: Revengeance,Xbox 360,2013-02-19,"Metal Gear Rising: Revengeance moves the notorious Metal Gear franchise into new territory by delivering a novel action experience. Coupling development teams at Kojima Productions and PlatinumGames, Revengeance was made with the goal of providing players with a fresh synergistic experience that combines the best elements of pure action and epic storytelling, all within the expansive Metal Gear universe. The game introduces Raiden as the main character; a child soldier transformed into a half-man, half-machine cyborg ninja, equipped with a high-frequency katana blade and a soul fueled by revenge.",82,8.0
1863,Metal Gear Rising: Revengeance,PlayStation 3,2013-02-19,"Metal Gear Rising: Revengeance brings the infamous Metal Gear franchise into new territory by delivering a novel action experience. Coupling development teams at Kojima Productions and PlatinumGames, Revengeance was made with the goal of providing players with a fresh synergetic experience that combines the best elements of pure action and epic storytelling, all within the expansive Metal Gear universe. The game introduces Raiden as the lead character; a young soldier transformed into a half-man, half-machine cyborg ninja, equipped with a high-frequency katana blade and a soul fueled by revenge.",80,8.0
1864,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Xbox,2005-11-14,"The malevolent White Witch has cast a 100-year winter on the land of Narnia, and you can help Aslan free his people in The Chronicles of Narnia: The Lion, the Witch and the Wardrobe. As the four children from the movie, you can battle fantastical creatures such as Minotaurs, Cyclops, Werewolves, and Wraiths. The game includes puzzle elements and is closely tied to the plot of the movie. Multiplayer cooperative play is also available.",72,6.4
1865,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PC,2005-11-14,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe is an action adventure based on the Disney and Walden Media film capturing the book series from author C.S. Lewis. Players enter the world of Narnia, a land frozen in eternal winter by the evil powers of the malevolent and evil White Witch. In order to end this frigid captivity and free his people, the mighty lion Aslan, true ruler of Narnia, invokes an ancient prophecy. It will become the destiny of four young siblings from our world: Peter, Susan, Edmund and Lucy Pevensie to work together and use their unique combat skills, weaponry and abilities to defeat the Witch and her armies and save Narnia. These four unlikely heroes must battle the evil forces of the White Witch by waging war against a vast variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Battle the evil forces of the White Witch by waging war against a huge variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Utilize the unique combat skills, weaponry and special moves of each character to fight and fend off hordes of dark mythical beasts, or solve intricate puzzles and progress through the adventure. Two-player action featuring all four characters. [Disney Interactive]",71,5.9
1866,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GameCube,2005-11-14,"The malevolent White Witch has cast a 100-year winter on the land of Narnia, and you can help Aslan free his people in The Chronicles of Narnia: The Lion, the Witch and the Wardrobe. As the four children from the movie, you can battle fantastical creatures such as Minotaurs, Cyclops, Werewolves, and Wraiths. The game includes puzzle elements and is closely tied to the plot of the movie. Multiplayer cooperative play is also available.",71,5.5
1867,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PlayStation 2,2005-11-14,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe is an action adventure based on the Disney and Walden Media film capturing the book series from author C.S. Lewis. Players enter the world of Narnia, a land frozen in eternal winter by the evil powers of the malevolent and evil White Witch. In order to end this frigid captivity and free his people, the mighty lion Aslan, true ruler of Narnia, invokes an ancient prophecy. It will become the destiny of four young siblings from our world: Peter, Susan, Edmund and Lucy Pevensie to work together and use their unique combat skills, weaponry and abilities to defeat the Witch and her armies and save Narnia. These four unlikely heroes must battle the evil forces of the White Witch by waging war against a vast variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Battle the evil forces of the White Witch by waging war against a huge variety of creatures, including Centaurs, Minotaurs, Minoboars, Cyclops, Werewolves, Wraiths, Ankleslicers, Wolves, Satyrs, Boggles and more. Utilize the unique combat skills, weaponry and special moves of each character to fight and fend off hordes of dark mythical beasts, or solve intricate puzzles and progress through the adventure. Two-player action featuring all four characters. [Disney Interactive]",68,8.2
1868,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Game Boy Advance,2005-11-14,"The malevolent White Witch has cast a 100-year winter on the land of Narnia, and you can help Aslan free his people in The Chronicles of Narnia: The Lion, the Witch and the Wardrobe. As the four children from the movie, you can battle fantastical creatures such as Minotaurs, Cyclops, Werewolves, and Wraiths. The game includes puzzle elements and is closely tied to the plot of the movie. Multiplayer cooperative play is also available.",66,6.0
